customer_id,subscription_type,monthly_revenue,tenure_months,country,industry,sessions_30d,sessions_90d,days_since_last_login,days_since_last_core_action,login_frequency_change,session_duration_change,ticket_count,support_sentiment,error_rate,failed_api_calls,rage_click_count,billing_page_visits,downgrade_page_visits,invoice_download_frequency,trial_expiry_days,tier_capacity_utilization,export_frequency,api_usage,api_limit_usage,seat_limit_usage,churned
CUST-000001,Starter,65.01,1,US,Other,3,30,1,9,0.2715,-0.2842,1,0.5141,0.1677,1,0,0,0,0,-1,0.2041,2,11,0.0011,0.0889,1
CUST-000002,Enterprise,3865.97,1,US,EdTech,8,22,0,4,0.1805,0.1868,1,0.921,0.2384,0,2,1,0,0,-1,0.3976,4,1623,0.1623,0.3617,1
CUST-000003,Business,822.4,16,Netherlands,EdTech,9,27,12,13,-0.2657,-0.25,0,0.3714,0.0272,0,0,1,0,0,-1,0.2175,2,227,0.0227,0.7647,0
CUST-000004,Professional,196.85,31,US,HR Tech,4,29,10,16,0.0755,0.3293,1,-0.3938,0.1522,0,1,0,0,0,-1,0.1761,6,175,0.0175,0.4388,0
CUST-000005,Starter,48.15,35,US,E-Commerce,5,31,2,8,0.3153,0.5517,0,-0.0382,0.126,1,1,1,0,1,-1,0.396,2,82,0.0082,0.2903,0
CUST-000006,Starter,40.1,11,Canada,E-Commerce,13,32,7,14,-0.2487,-0.4216,1,0.3384,0.0764,1,0,0,0,0,-1,0.2946,2,354,0.0354,0.3047,0
CUST-000007,Starter,70.23,27,UK,PropTech,8,30,0,7,0.1328,-0.2712,1,0.2933,0.0092,1,3,0,0,0,-1,0.3648,3,246,0.0246,0.495,0
CUST-000008,Business,764.01,52,Canada,MarTech,16,46,4,8,0.2614,0.1933,3,0.4949,0.2403,4,1,1,1,0,-1,0.2811,5,183,0.0183,0.4623,0
CUST-000009,Professional,187.87,5,US,E-Commerce,3,24,0,0,-0.3213,0.1283,2,0.0611,0.118,3,0,1,0,0,-1,0.7707,4,71,0.0071,0.6719,0
CUST-000010,Business,965.4,9,Germany,FinTech,5,39,3,6,-0.0427,0.1942,1,-0.0454,0.0942,2,0,0,0,1,-1,0.5242,3,196,0.0196,0.7698,0
CUST-000011,Starter,31.39,48,US,MarTech,14,40,0,3,0.0903,-0.1434,2,0.801,0.0151,1,1,1,0,0,-1,0.1245,2,857,0.0857,0.6181,0
CUST-000012,Enterprise,4475.6,7,US,FinTech,11,35,4,6,-0.2388,0.4969,1,0.1235,0.1695,0,0,1,1,1,-1,0.3895,2,791,0.0791,0.5845,0
CUST-000013,Business,997.55,44,Netherlands,EdTech,11,35,3,10,-0.2637,0.0295,2,-0.3067,0.0851,0,0,1,0,0,-1,0.2453,4,425,0.0425,0.4816,0
CUST-000014,Starter,73.35,71,US,MarTech,6,23,4,6,-0.0405,-0.3042,3,0.6901,0.1036,4,0,5,0,0,-1,0.5022,1,698,0.0698,0.33,0
