customer_id,subscription_type,monthly_revenue,tenure_months,churn_probability,primary_driver,churn_archetype,archetype_name,action,action_code,channel,urgency,expected_conversion_rate,action_cost_usd,expected_revenue_saved,campaign_roi,clv,clv_tier,customer_health_score,retention_risk_score
CUST-001666,Business,512.32,11,0.954940793436518,customer_health_score,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,469.67,938.34,23.96,Low,0.6556415297294488,0.22323016432466147
CUST-001754,Starter,47.45,84,0.9535068318224639,days_since_last_login,A,The Ghost,Recommended Content Campaign,CONTENT_CAMPAIGN,in-app + email,low,0.09,0.25,48.86,194.44,2.29,Low,0.6446476174978742,0.23142285900255083
CUST-000260,Starter,40.83,3,0.953275099188782,customer_health_score,A,The Ghost,Recommended Content Campaign,CONTENT_CAMPAIGN,in-app + email,low,0.09,0.25,42.04,167.16,1.98,Low,0.6602648788860547,0.21434881200340106
CUST-000054,Business,928.67,9,0.9521324591988269,customer_health_score,A,The Ghost,Recommended Content Campaign,CONTENT_CAMPAIGN,in-app + email,low,0.09,0.25,954.95,3818.8,46.28,Low,0.62521858214681,0.254737701423828
CUST-001317,Professional,287.45,29,0.9505408582437406,days_since_last_login,A,The Ghost,Re-Engagement Push Notification,PUSH_REENGAGEMENT,push + sms,high,0.15,0.1,491.82,4917.2,14.83,Low,0.6320853333333334,0.2598309333333333
CUST-001460,Professional,126.65,16,0.9499860400786316,customer_health_score,A,The Ghost,Recommended Content Campaign,CONTENT_CAMPAIGN,in-app + email,low,0.09,0.25,129.94,518.76,6.61,Low,0.6446289159635418,0.23311196751041657
CUST-001076,Professional,278.4,2,0.9463637349071062,customer_health_score,A,The Ghost,Re-Engagement Push Notification,PUSH_REENGAGEMENT,push + sms,high,0.15,0.1,474.24,4741.4,15.64,Low,0.6608935818753334,0.22192770174959991
CUST-001888,Starter,70.77,21,0.94583117157638,customer_health_score,A,The Ghost,Recommended Content Campaign,CONTENT_CAMPAIGN,in-app + email,low,0.09,0.25,72.29,288.16,4.02,Low,0.6515185594903582,0.2231777286115701
CUST-000532,Enterprise,1563.21,1,0.9430603721859818,customer_health_score,D,Outgrown User,General Retention Email,GENERAL_RETENTION,email,low,0.08,0.5,1415.23,2829.46,93.56,Low,0.6638032948205435,0.21676937954868114
CUST-001917,Business,443.47,36,0.941874780766298,days_since_last_login,A,The Ghost,Recommended Content Campaign,CONTENT_CAMPAIGN,in-app + email,low,0.09,0.25,451.11,1803.44,27.13,Low,0.5903313561096939,0.2949357060017006
CUST-001949,Starter,65.47,5,0.9381977383392859,customer_health_score,A,The Ghost,Re-Engagement Push Notification,PUSH_REENGAGEMENT,push + sms,high,0.15,0.1,110.56,1104.6,4.27,Low,0.6565336985279703,0.2238262284331024
CUST-001225,Professional,155.4,30,0.9368481928251903,customer_health_score,A,The Ghost,Re-Engagement Push Notification,PUSH_REENGAGEMENT,push + sms,high,0.15,0.1,262.06,2619.6,10.38,Low,0.6637197483333335,0.20853630199999978
CUST-001588,Professional,125.41,5,0.9357160412432506,customer_health_score,A,The Ghost,Recommended Content Campaign,CONTENT_CAMPAIGN,in-app + email,low,0.09,0.25,126.74,505.96,8.54,Low,0.6368928411405171,0.24239525729804612
CUST-000428,Business,803.4,5,0.9333925757620689,customer_health_score,A,The Ghost,Re-Engagement Push Notification,PUSH_REENGAGEMENT,push + sms,high,0.15,0.1,1349.8,13497.0,56.82,Low,0.6505808649266749,0.22930296208799014
CUST-001707,Professional,192.47,53,0.9323903764953068,customer_health_score,A,The Ghost,Recommended Content Campaign,CONTENT_CAMPAIGN,in-app + email,low,0.09,0.25,193.81,774.24,13.83,Low,0.6226370674380165,0.2561688524077135
CUST-001626,Professional,239.16,10,0.9321384144717096,days_since_last_login,A,The Ghost,Re-Engagement Push Notification,PUSH_REENGAGEMENT,push + sms,high,0.15,0.1,401.27,4011.7,17.26,Low,0.680171246383929,0.1954611710059519
CUST-000468,Business,825.59,3,0.9307735052727787,days_since_last_login,A,The Ghost,Recommended Content Campaign,CONTENT_CAMPAIGN,in-app + email,low,0.09,0.25,829.91,3318.64,60.86,Low,0.6698062471875005,0.2028991700416662
