feature,psi,status,ks_stat,ks_pval,ref_mean,prod_mean,drift
billing_page_visits,8.2557,🚨 Major Drift,0.544,0.0,1.362,3.93,True
sessions_30d,7.9259,🚨 Major Drift,0.72,0.0,7.414,1.875,True
tenure_months,0.0993,✅ No Drift,0.077,0.351,16.654,15.62,False
days_since_last_core_action,0.0982,✅ No Drift,0.116,0.0401,10.826,10.565,True
api_usage,0.094,✅ No Drift,0.076,0.3666,553.976,498.34,False
api_limit_usage,0.094,✅ No Drift,0.076,0.3666,0.0554,0.0498,False
log_api_usage,0.094,✅ No Drift,0.076,0.3666,5.7777,5.645,False
support_sentiment,0.0913,✅ No Drift,0.087,0.2193,0.1051,0.1156,False
support_ticket_sentiment,0.0913,✅ No Drift,0.087,0.2193,0.1051,0.1156,False
login_frequency_change,0.0836,✅ No Drift,0.06,0.6644,-0.0071,0.0171,False
retention_risk_score,0.0768,✅ No Drift,0.091,0.1786,0.1257,0.1217,False
sessions_90d,0.0734,✅ No Drift,0.066,0.5446,32.64,32.935,False
tier_capacity_utilization,0.0681,✅ No Drift,0.101,0.1026,0.4076,0.3755,False
session_duration_change,0.0663,✅ No Drift,0.062,0.6241,-0.0042,0.0113,False
days_since_last_login,0.0596,✅ No Drift,0.041,0.9636,6.134,6.445,False
error_rate,0.0594,✅ No Drift,0.06,0.6644,0.1274,0.1238,False
customer_health_score,0.0588,✅ No Drift,0.1,0.1088,0.7389,0.7429,False
monthly_revenue,0.0535,✅ No Drift,0.06,0.6644,593.2142,598.1261,False
log_monthly_revenue,0.0535,✅ No Drift,0.06,0.6644,5.2691,5.2845,False
growth_pressure_score,0.0516,✅ No Drift,0.099,0.1152,0.2598,0.2498,False
seat_limit_usage,0.0495,✅ No Drift,0.048,0.8843,0.3667,0.3793,False
velocity_30d_vs_90d,0.0477,✅ No Drift,0.086,0.2305,0.6804,0.7191,False
engagement_decay_score,0.0469,✅ No Drift,0.108,0.0673,0.136,0.1271,False
friction_score,0.0419,✅ No Drift,0.083,0.2667,0.081,0.0766,False
export_frequency,0.0403,✅ No Drift,0.055,0.7635,3.094,2.96,False
pricing_sensitivity_score,0.0287,✅ No Drift,0.054,0.7825,0.0497,0.0518,False
tenure_bucket,0.0254,✅ No Drift,0.077,0.351,1.524,1.375,False
failed_api_calls,0.0236,✅ No Drift,0.032,0.9979,2.056,2.06,False
ticket_count,0.0185,✅ No Drift,0.064,0.584,1.782,1.72,False
ticket_density_30d,0.0185,✅ No Drift,0.064,0.584,1.782,1.72,False
downgrade_page_visits,0.0111,✅ No Drift,0.05,0.8531,0.38,0.445,False
subscription_tier,0.0098,✅ No Drift,0.033,0.9967,1.004,0.995,False
invoice_download_frequency,0.0085,✅ No Drift,0.041,0.9636,0.756,0.82,False
rage_click_count,0.0015,✅ No Drift,0.026,1.0,0.774,0.835,False
